"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Abdiel Saldana","Astros","0","0","5.53","0","0","0","1.0","1","1","0","1","0","1.58","6.40","4.32","5.57","0.0","0.0","sa828523"
"Derek Gordon","","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.59","6.97","4.68","5.57","0.0","0.0","sa864302"
"Kevin Gadea","Rays","0","0","5.48","0","0","0","1.0","1","1","0","1","1","1.58","6.88","4.68","5.57","0.0","0.0","sa735841"
"Dedgar Jimenez","Red Sox","0","0","5.47","0","0","0","1.0","1","1","0","1","0","1.56","6.12","4.04","5.57","0.0","0.0","sa736925"
"Jered Weaver","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.43","6.12","2.58","5.57","0.0","0.0","4235"
"Wade LeBlanc","Mariners","6","8","5.57","21","21","0","110.0","128","68","24","84","36","1.49","6.91","2.94","5.57","-0.3","-0.6","5221"
"Grant Dyer","Phillies","0","0","5.43","0","1","0","1.0","1","1","0","1","1","1.58","7.47","4.84","5.57","0.0","0.0","sa874139"
"Lake Bachar","Padres","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.55","6.90","4.34","5.58","0.0","0.0","sa917993"
"Luis Pino","","0","0","5.46","0","0","0","1.0","1","1","0","1","1","1.67","6.35","5.45","5.58","0.0","0.0","sa683316"
"Brad Case","Pirates","0","0","5.65","0","0","0","1.0","1","1","0","1","0","1.58","4.80","3.50","5.58","0.0","0.0","sa3007613"
"Justin Nicolino","White Sox","0","0","5.46","0","0","0","1.0","1","1","0","1","0","1.51","5.63","3.25","5.58","0.0","0.0","11754"
"Tommy Bergjans","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.47","6.13","3.12","5.58","0.0","0.0","sa875211"
"Ismael Aquino","Athletics","0","0","5.51","0","0","0","1.0","1","1","0","1","1","1.65","6.98","5.47","5.58","0.0","0.0","sa3003104"
"Blake Beavan","","0","0","5.59","0","0","0","1.0","1","1","0","1","0","1.49","5.81","3.05","5.58","0.0","0.0","338"
"Antonio Santos","Rockies","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.55","5.57","3.12","5.58","0.0","0.0","sa881171"
"Brett Ash","","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.53","5.01","3.17","5.58","0.0","0.0","sa832338"
"Noah Zavolas","Brewers","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.55","5.67","3.42","5.58","0.0","0.0","sa3006770"
"J.T. Hintzen","Brewers","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.62","8.30","5.50","5.58","0.0","0.0","sa3006763"
"Jeff Bain","Diamondbacks","0","0","5.67","0","0","0","1.0","1","1","0","1","1","1.61","6.68","4.64","5.58","0.0","0.0","sa829808"
"Ryan Cook","","0","0","5.53","0","1","0","1.0","1","1","0","1","1","1.58","7.51","4.86","5.58","0.0","0.0","sa876808"
"Anthony Castro","Tigers","0","0","5.56","0","0","0","1.0","1","1","0","1","1","1.64","6.37","4.92","5.58","0.0","0.0","sa656041"
"Brady Lail","Yankees","0","0","5.36","0","1","0","1.0","1","1","0","1","0","1.50","7.58","4.16","5.58","0.0","0.0","sa658405"
"Collin Snider","Royals","0","0","5.54","0","1","0","1.0","1","1","0","1","0","1.62","4.64","4.00","5.58","0.0","0.0","sa3004093"
"Jose Veras","","0","0","5.48","0","1","0","1.0","1","1","0","1","1","1.60","6.62","4.71","5.58","0.0","0.0","sa737362"
"Sam Holland","","0","0","5.47","0","1","0","1.0","1","1","0","1","1","1.65","6.68","5.19","5.58","0.0","0.0","sa739649"
